"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"TGEWUI-DSSKX-KS7W3C","O72W5H-AK6PK-AVSZE3","SOL/USD","forex","2024-09-20 01:04:31.339","buy","limit",141.78000,5.67120,0.01418,0.04000000,0.00000,"","LKBRZR-FBIHW-USHWXO,LGDAIY-K3DAT-M5NQ7P","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.67120,""
"T4NEBK-VFKCE-JUYQNU","O55BO5-OPS6E-G4VDRA","BTC/USD","forex","2024-09-20 01:09:35.3338","buy","limit",62618.50000,6.26185,0.01565,0.00010000,0.00000,"","LCSGIN-3PWL2-DRO2VV,LOFNJ4-RPBDL-7CLNWL","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.26185,""
"TQ57U4-FS6TI-5S2K25","OUQZIX-NBVVB-C5F3YQ","SOL/USD","forex","2024-09-20 01:35:57.3131","sell","limit",142.51000,5.70040,0.01425,0.04000000,0.00000,"","LMUJI6-A6B4S-BYVMZH,LZNDAV-7F2WK-LC5E6C","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.70040,""
"T2ZXUN-NI4MU-U3IJM2","OFDVE7-Y2BXN-TUDHT3","ADA/USD","forex","2024-09-20 02:59:15.8664","sell","limit",0.354010,7.080200,0.017701,20.00000000,0.000000,"","L5UV32-CNFTY-JJMXJ2,LJC65X-2FU6S-ZWW6LW","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.080200,""
"TLM353-OM7UE-JZG2HS","OOLWPF-JPFZ4-F4H4DE","ADA/USD","forex","2024-09-20 02:59:41.4677","sell","limit",0.355080,7.101600,0.017754,20.00000000,0.000000,"","LXXRW7-2RGRW-2XKXZP,LYOIVJ-YSFW5-WMRHQQ","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.101600,""
"TCQM7L-LFXVV-TJU2LD","OMZ6HI-ZYTOS-FFUCEX","BTC/USD","forex","2024-09-20 03:05:04.6899","sell","limit",63244.70000,6.32447,0.01581,0.00010000,0.00000,"","LHVISW-IJEEV-DNA7VB,LUI5QI-I2TZL-426SCV","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.32447,""
"TWBEQC-PXX2G-AFNNO2","OEKKAS-OVTA6-5NEPAG","SOL/USD","forex","2024-09-20 03:31:13.2188","sell","limit",143.54000,5.74160,0.01435,0.04000000,0.00000,"","LVASVT-R67PU-OBNNAZ,LLH76Q-NUBCY-JR5G7Z","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.74160,""
"TZ3O7O-XME3V-4G2OZE","OVZ7QC-6C6LS-SOF4BD","ETH/USD","forex","2024-09-20 03:46:40.0699","sell","limit",2481.00000,4.96200,0.01241,0.00200000,0.00000,"","LASURG-7U5NF-JQQUPB,LSWQ74-XZ3NV-TIQ327","TKH2SE-M7IF5-CFI7LT","","","","","","","",4.96200,""
"TJZWZV-NRBPJ-4XW7OD","OTZ73D-NGNRW-O3UHIE","BTC/USD","forex","2024-09-20 03:48:13.352","sell","limit",63410.20000,6.34102,0.01585,0.00010000,0.00000,"","LUWRUE-CVOLJ-3LY767,LV6RD3-RDPWF-BSXG2E","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.34102,""
"TH7YWK-KLJJ3-L43TEG","OVWH7B-OZHGO-2AO4E4","ADA/USD","forex","2024-09-20 03:48:17.8928","sell","limit",0.358180,27.716832,0.069292,77.38241106,0.000000,"","LO644Z-JM5OM-EYGUQH,L25T6I-WHIX3-AQ2KTX","TKH2SE-M7IF5-CFI7LT","","","","","","","",27.716832,""
